iter	Passed	Remaining
805	4777	1149
806	4782	1143
807	4788	1137
808	4794	1131
809	4799	1125
810	4805	1119
811	4810	1113
812	4816	1107
813	4821	1101
814	4827	1095
815	4833	1089
816	4838	1083
817	4844	1077
818	4849	1071
819	4855	1065
820	4861	1059
821	4866	1053
822	4872	1047
823	4878	1041
824	4883	1035
825	4889	1029
826	4894	1023
827	4900	1017
828	4906	1012
829	4911	1006
830	4917	1000
831	4922	994
832	4928	988
833	4934	982
834	4940	976
835	4946	970
836	4953	964
837	4960	958
838	4966	952
839	4972	947
840	4978	941
841	4983	935
842	4988	929
843	4994	923
844	5000	917
845	5007	911
846	5014	905
847	5020	899
848	5026	893
849	5031	887
850	5037	882
851	5044	876
852	5049	870
853	5055	864
854	5060	858
855	5066	852
856	5072	846
857	5077	840
858	5083	834
859	5089	828
860	5094	822
861	5100	816
862	5105	810
863	5111	804
864	5117	798
865	5122	792
866	5128	786
867	5134	780
868	5139	774
869	5145	768
870	5151	762
871	5156	756
872	5162	750
873	5167	744
874	5173	739
875	5178	733
876	5184	727
877	5190	721
878	5195	715
879	5201	709
880	5207	703
881	5212	697
882	5218	691
883	5224	685
884	5229	679
885	5235	673
886	5241	667
887	5246	661
888	5252	655
889	5257	649
890	5263	643
891	5269	637
892	5274	632
893	5280	626
894	5286	620
895	5291	614
896	5297	608
897	5302	602
898	5308	596
899	5313	590
900	5318	584
901	5324	578
902	5330	572
903	5336	566
904	5341	560
905	5346	554
906	5352	548
907	5358	542
908	5363	536
909	5369	531
910	5375	525
911	5380	519
912	5386	513
913	5392	507
914	5397	501
915	5403	495
916	5409	489
917	5414	483
918	5420	477
919	5426	471
920	5432	465
921	5437	460
922	5442	454
923	5448	448
924	5454	442
925	5459	436
926	5465	430
927	5470	424
928	5476	418
929	5482	412
930	5487	406
931	5493	400
932	5499	394
933	5504	388
934	5510	383
935	5517	377
936	5524	371
937	5531	365
938	5537	359
939	5543	353
940	5550	347
941	5556	342
942	5563	336
943	5569	330
944	5576	324
945	5582	318
946	5588	312
947	5594	306
948	5600	300
949	5606	295
950	5612	289
951	5618	283
952	5624	277
953	5630	271
954	5635	265
955	5641	259
956	5647	253
957	5653	247
958	5659	241
959	5665	236
960	5671	230
961	5676	224
962	5682	218
963	5688	212
964	5694	206
965	5700	200
966	5706	194
967	5711	188
968	5717	182
969	5723	177
970	5729	171
971	5735	165
972	5740	159
973	5746	153
974	5752	147
975	5757	141
976	5763	135
977	5769	129
978	5774	123
979	5780	117
980	5786	112
981	5792	106
982	5797	100
983	5803	94
984	5810	88
985	5815	82
986	5821	76
987	5827	70
988	5833	64
989	5839	58
990	5845	53
991	5850	47
992	5856	41
993	5862	35
994	5868	29
995	5874	23
996	5880	17
997	5885	11
998	5891	5
999	5897	0
